name	taxid	segment	cost	target_len	num_primers5	num_primers3	num_guides	nonspecific_cost	nonspecific_target_len	nonspecific_num_primers5	nonspecific_num_primers3	nonspecific_num_guides
cacipacore_virus	64305	None	2.5126942636811997	88	1	1	1	NA	NA	NA	NA	NA
dengue_virus	12637	None	5.746243377117346	89	2	4	6	5.746243377117346	89	2	4	6
ilheus_virus	59563	None	2.7613160284948064	103	1	1	2	NA	NA	NA	NA	NA
japanese_encephalitis_virus	11072	None	2.5126942636811997	88	1	1	1	2.5126942636811997	88	1	1	1
kedougou_virus	64311	None	2.5126942636811997	88	1	1	1	NA	NA	NA	NA	NA
kokobera_virus	44024	None	3.0612548428519353	215	1	1	1	NA	NA	NA	NA	NA
murray_valley_encephalitis_virus	11079	None	2.6237942636811997	88	1	1	2	2.6237942636811997	88	1	1	2
nounane_virus	486494	None	2.5126942636811997	88	1	1	1	NA	NA	NA	NA	NA
ntaya_virus	64292	None	2.5126942636811997	88	1	1	1	NA	NA	NA	NA	NA
saint_louis_encephalitis_virus	11080	None	2.645911090344213	90	1	1	2	2.5126942636811997	88	1	1	1
spondweni_virus	64318	None	2.5126942636811997	88	1	1	1	2.5126942636811997	88	1	1	1
tembusu_virus	64293	None	2.5126942636811997	88	1	1	1	2.5126942636811997	88	1	1	1
usutu_virus	64286	None	2.5126942636811997	88	1	1	1	2.5126942636811997	88	1	1	1
west_nile_virus	11082	None	2.7461433771173467	118	1	1	1	2.5126942636811997	88	1	1	1
yaounde_virus	64319	None	2.5126942636811997	88	1	1	1	NA	NA	NA	NA	NA
zika_virus	64320	None	2.5126942636811997	88	1	1	1	2.5126942636811997	88	1	1	1
