name	N1	N2	N3	N4	N5	N6	N7	N8	N9
N1-u1-g1	0.04584148469306826	0.0001434171526914619	0.03996101364522417	0.0	0.16524216524216523	0.001609442060085837	0.0	0.06399069226294357	0.0
N1-u1-g2	0.7158568180616507	0.000908308633712592	0.0029239766081871343	0.030927835051546393	0.042735042735042736	0.0	0.14751286449399656	0.1157649796393252	0.0
N1-u1-g3	0.10283931687199281	9.561143512764126e-05	0.0	0.0	0.13105413105413105	0.001609442060085837	0.0	0.14543339150668994	0.015437392795883362
N1-u2-g1	0.04568286363876699	4.780571756382063e-05	0.0009746588693957114	0.0	0.16524216524216523	0.4822961373390558	0.0	0.06282722513089005	0.0
N1-u2-g2	0.738539628826733	4.780571756382063e-05	0.0	0.0	0.042735042735042736	0.0	0.0	0.0	0.0
N1-u2-g3	0.10283931687199281	9.561143512764126e-05	0.0	0.0	0.13105413105413105	0.001609442060085837	0.0	0.14543339150668994	0.015437392795883362
N1-u3-g1	0.04874953735525829	4.780571756382063e-05	0.0	0.0	0.6780626780626781	0.001072961373390558	0.0	0.017452006980802792	0.0
N1-u3-g2	0.10511288531697774	0.03403767090544029	0.007797270955165692	0.0	0.5185185185185185	0.15665236051502146	0.0017152658662092624	0.3775450843513671	0.0
N1-u3-g3	0.7051763337386983	4.780571756382063e-05	0.0	0.0	0.0	0.0	0.0	0.009307737056428156	0.0
N5-u1-g1	5.287368476709142e-05	0.5150588010326035	0.0	0.0	0.7264957264957265	0.0	0.0	0.9790575916230366	0.0
N5-u1-g2	0.22503040236874108	0.014724161009656756	0.0	0.9123711340206185	0.03418803418803419	0.001072961373390558	0.0	0.527632344386271	0.011149228130360206
N5-u1-g3	0.028393168719928093	0.00023902858781910317	0.11306042884990253	0.1958762886597938	0.1282051282051282	0.001072961373390558	0.0	0.24781849912739964	0.00686106346483705
N5-u2-g1	0.002379315814519114	0.0	0.0	0.0979381443298969	0.045584045584045586	0.0	0.0	0.4694589877835951	0.0008576329331046312
N5-u2-g2	0.7253740813197271	0.0002868343053829238	0.08382066276803118	0.05154639175257732	0.1282051282051282	0.0	0.0	0.2472367655613729	0.0
N5-u2-g3	5.287368476709142e-05	0.0	0.0	0.0	0.6495726495726496	0.0	0.0	0.9203025014543339	0.0
N5-u3-g1	5.287368476709142e-05	0.0	0.0	0.015463917525773196	0.6866096866096866	0.0	0.0	0.7853403141361257	0.0
N5-u3-g2	0.00010574736953418284	0.0	0.0	0.05670103092783505	0.17663817663817663	0.002145922746781116	0.0	0.48051192553810357	0.0
N5-u3-g3	0.0006873579019721884	9.561143512764126e-05	0.0	0.0	0.18803418803418803	0.0	0.0	0.3542757417102967	0.0
N8-u1-g1	0.0020092000211494737	0.0	0.0	0.0	0.7663817663817664	0.0	0.0	0.6678301337987201	0.0
N8-u1-g2	0.008618410617035901	0.0002868343053829238	0.0	0.15979381443298968	0.8433048433048433	0.0	0.0017152658662092624	0.11751018033740547	0.0008576329331046312
N8-u2-g1	0.0005287368476709142	0.0	0.0	0.0	0.7663817663817664	0.001609442060085837	0.0	0.6660849331006399	0.0
N8-u2-g2	0.0013747158039443769	0.0	0.0	0.06701030927835051	0.8433048433048433	0.0	0.0017152658662092624	0.11634671320535195	0.0008576329331046312
N8-u3-g1	0.0012160947496431026	0.0	0.0	0.05670103092783505	0.8575498575498576	0.0	0.0	0.6340895869691682	0.0
N8-u3-g2	0.10363242214349919	0.00038244574051056506	0.0	0.25257731958762886	0.7264957264957265	0.0	0.0	0.32577079697498545	0.0
N8-u3-g3	0.0020092000211494737	0.0	0.0	0.015463917525773196	0.7492877492877493	0.011266094420600859	0.0	0.15939499709133217	0.0
